,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,default
0,67,male,2,own,,little,1169,6,radio/TV,0
1,22,female,2,own,little,moderate,5951,48,radio/TV,1
2,49,male,1,own,little,,2096,12,education,0
3,45,male,2,free,little,little,7882,42,furniture/equipment,0
4,53,male,2,free,little,little,4870,24,car,1
5,35,male,1,free,,,9055,36,education,0
6,53,male,2,own,quite rich,,2835,24,furniture/equipment,0
7,35,male,3,rent,little,moderate,6948,36,car,0
8,61,male,1,own,rich,,3059,12,radio/TV,0
9,28,male,3,own,little,moderate,5234,30,car,1
10,25,female,2,rent,little,moderate,1295,12,car,1
11,24,female,2,rent,little,little,4308,48,business,1
12,22,female,2,own,little,moderate,1567,12,radio/TV,0
13,60,male,1,own,little,little,1199,24,car,1
14,28,female,2,rent,little,little,1403,15,car,0
15,32,female,1,own,moderate,little,1282,24,radio/TV,1
16,53,male,2,own,,,2424,24,radio/TV,0
17,25,male,2,own,,little,8072,30,business,0
18,44,female,3,free,little,moderate,12579,24,car,1
19,31,male,2,own,quite rich,,3430,24,radio/TV,0
20,48,male,2,own,little,,2134,9,car,0
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,0
22,48,male,1,rent,little,little,2241,10,car,0
23,44,male,2,own,moderate,moderate,1804,12,car,0
24,26,male,2,own,,,2069,10,furniture/equipment,0
25,36,male,1,own,little,little,1374,6,furniture/equipment,0
26,39,male,1,own,little,,426,6,radio/TV,0
27,42,female,2,rent,rich,rich,409,12,radio/TV,0
28,34,male,2,own,little,moderate,2415,7,radio/TV,0
29,63,male,2,own,little,little,6836,60,business,1
30,36,male,2,own,rich,moderate,1913,18,business,0
31,27,male,2,own,little,little,4020,24,furniture/equipment,0
32,30,male,2,own,moderate,moderate,5866,18,car,0
33,57,male,1,rent,,,1264,12,business,0
34,33,female,3,own,little,rich,1474,12,furniture/equipment,0
35,25,male,1,own,little,moderate,4746,45,radio/TV,1
36,31,male,2,free,little,,6110,48,education,0
37,37,male,2,own,little,rich,2100,18,radio/TV,1
38,37,male,2,own,little,rich,1225,10,domestic appliances,0
39,24,male,2,own,little,moderate,458,9,radio/TV,0
40,30,male,3,own,quite rich,,2333,30,radio/TV,0
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,0
42,44,male,1,own,little,moderate,6204,18,repairs,0
43,24,male,2,rent,moderate,little,6187,30,car,0
44,58,female,1,free,little,little,6143,48,car,1
45,35,female,3,own,little,,1393,11,car,0
46,39,male,2,own,quite rich,,2299,36,radio/TV,0
47,23,female,0,rent,quite rich,little,1352,6,car,0
48,39,male,1,own,little,,7228,11,car,0
49,28,female,2,own,moderate,,2073,12,radio/TV,0
50,29,male,1,own,,moderate,2333,24,furniture/equipment,0
51,30,male,3,own,little,moderate,5965,27,car,0
52,25,male,2,own,little,,1262,12,radio/TV,0
53,31,male,2,own,,,3378,18,car,0
54,57,male,2,free,little,moderate,2225,36,car,1
55,26,male,1,own,,,783,6,car,0
56,52,male,3,own,,moderate,6468,12,radio/TV,1
57,31,female,2,own,little,,9566,36,radio/TV,0
58,23,female,3,own,little,rich,1961,18,car,0
59,23,female,1,rent,little,little,6229,36,furniture/equipment,1
60,27,male,2,own,little,moderate,1391,9,business,0
61,50,male,2,own,,moderate,1537,15,radio/TV,0
62,61,male,3,free,little,moderate,1953,36,business,1
63,25,male,2,own,little,moderate,14421,48,business,1
64,26,female,2,own,little,,3181,24,radio/TV,0
65,48,male,2,own,,,5190,27,repairs,0
66,29,female,2,own,little,,2171,12,radio/TV,0
